ZipCode,Median_Household_Income,Year
10001,88880.07341,2017
10002,36971.04848,2017
10003,108925.3089,2017
10004,146480.4017,2017
10005,160834.3338,2017
10006,152157.1039,2017
10007,253062.2327,2017
10009,63119.54709,2017
10010,120025.2798,2017
10011,128498.0942,2017
10012,109050.4612,2017
10013,110609.651,2017
10014,133467.6856,2017
10016,113940.7895,2017
10017,123555.6191,2017
10018,112492.151,2017
10019,103316.3975,2017
10021,129159.3158,2017
10022,138927.4571,2017
10023,129272.9958,2017
10024,131521.5665,2017
10025,85887.8892,2017
10026,56682.54432,2017
10027,47491.14681,2017
10028,124321.1343,2017
10029,35475.47784,2017
10030,37668.77285,2017
10031,45930.91413,2017
10032,43688.60111,2017
10033,55321.51247,2017
10034,53094.84349,2017
10035,29131.2964,2017
10036,97730.43075,2017
10037,41695.54986,2017
10038,88682.95845,2017
10039,35665.29224,2017
10040,49215.1205,2017
10044,96599.88781,2017
10065,129659.9252,2017
10069,142991.7798,2017
10075,135158.2853,2017
10128,116743.1593,2017
10280,168349.7327,2017
10282,260735.115,2017
10301,58214.61773,2017
10302,63585.73961,2017
10303,62469.79778,2017
10304,56909.90443,2017
10305,79309.04709,2017
10306,83460.97645,2017
10307,84849.12465,2017
10308,95901.1205,2017
10309,104651.356,2017
10310,72836.58449,2017
10312,94695.48615,2017
10314,84431.95014,2017
10451,28137.37812,2017
10452,28374.12465,2017
10453,25469.54709,2017
10454,22466.93352,2017
10455,26583.40305,2017
10456,27871.42936,2017
10457,28196.82548,2017
10458,33508.5,2017
10459,26868.12465,2017
10460,27062.1108,2017
10461,58244.86288,2017
10462,52107.18283,2017
10463,61409.13158,2017
10464,91625.08172,2017
10465,77259.67729,2017
10466,52048.77839,2017
10467,36900.12881,2017
10468,36917.85873,2017
10469,63712.97784,2017
10470,59090.68421,2017
10471,84406.91967,2017
10472,31906.54986,2017
10473,40595.25208,2017
10474,27007.87812,2017
10475,50826.45706,2017
11001,109393.5873,2017
11004,97321.59972,2017
11005,54025.14266,2017
11040,123543.1039,2017
11096,56188.19252,2017
11101,60350.55125,2017
11102,63030.89751,2017
11103,68029.69114,2017
11104,65832.22438,2017
11105,70971.8144,2017
11106,63332.30609,2017
11109,143353.6787,2017
11201,121445.759,2017
11203,50206.95291,2017
11204,49373.64681,2017
11205,53788.39612,2017
11206,35587.07202,2017
11207,37346.50554,2017
11208,41287.76177,2017
11209,72565.42105,2017
11210,64872.72299,2017
11211,68951.64681,2017
11212,26779.47507,2017
11213,42347.38504,2017
11214,55433.10665,2017
11215,121911.9515,2017
11216,58430.50554,2017
11217,103339.3421,2017
11218,66906.44875,2017
11219,39282.19529,2017
11220,44386.32548,2017
11221,49195.30471,2017
11222,81648.35319,2017
11223,48298.3795,2017
11224,32988.07479,2017
11225,54155.5097,2017
11226,50577.19529,2017
11228,66431.91274,2017
11229,61832.56371,2017
11230,47988.62742,2017
11231,97592.76316,2017
11232,56222.60942,2017
11233,37555.0928,2017
11234,82903.00554,2017
11235,51784.91551,2017
11236,66435.04155,2017
11237,53470.30055,2017
11238,82405.52493,2017
11239,27118.42936,2017
11354,46423.18006,2017
11355,40017.46537,2017
11356,62275.81163,2017
11357,84533.11496,2017
11358,68762.87535,2017
11360,88103.08587,2017
11361,85541.63435,2017
11362,84298.45429,2017
11363,101982.482,2017
11364,74079.76454,2017
11365,66179.52216,2017
11366,69996.66898,2017
11367,61453.97784,2017
11368,49917.01662,2017
11369,55719.91413,2017
11370,62472.92659,2017
11372,56279.97091,2017
11373,51206.08587,2017
11374,59304.48615,2017
11375,79750.20914,2017
11377,57350.02355,2017
11378,71399.41828,2017
11379,82989.56925,2017
11385,67249.57479,2017
11411,90976.37535,2017
11412,78540.40305,2017
11413,87042.41967,2017
11414,75750.54848,2017
11415,68813.97922,2017
11416,63916.35042,2017
11417,72994.06787,2017
11418,69879.86011,2017
11419,68532.38643,2017
11420,69063.241,2017
11421,72017.8795,2017
11422,90731.28532,2017
11423,69308.33102,2017
11426,86955.85596,2017
11427,76002.93906,2017
11428,74739.94321,2017
11429,83918.82548,2017
11432,55249.54986,2017
11433,50890.07618,2017
11434,63308.31856,2017
11435,62091.21191,2017
11436,72232.72438,2017
11691,44255.95845,2017
11692,47783.16898,2017
11693,59909.3892,2017
11694,80876.58033,2017
11697,104076.6981,2017
