,INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,JURISDICTION_CODE,PERP_SEX,PERP_RACE,VIC_AGE_GROUP
1,205748546,11/27/2019,15:54:00,BRONX,0.0,M,BLACK,25-44
2,193118596,02/02/2019,19:40:00,MANHATTAN,0.0,M,WHITE HISPANIC,18-24
3,204192600,10/24/2019,00:52:00,STATEN ISLAND,0.0,M,BLACK,25-44
4,201483468,08/22/2019,18:03:00,BRONX,0.0,M,BLACK HISPANIC,18-24
5,198255460,06/07/2019,17:50:00,BROOKLYN,0.0,M,WHITE HISPANIC,25-44
6,194570529,03/11/2019,16:30:00,BROOKLYN,0.0,M,BLACK,25-44
8,193694863,02/17/2019,03:00:00,QUEENS,2.0,M,BLACK,25-44
9,199582060,07/10/2019,02:56:00,BROOKLYN,0.0,M,BLACK,25-44
11,204464564,11/04/2019,13:40:00,BRONX,0.0,M,BLACK,25-44
12,205908100,12/02/2019,11:50:00,BROOKLYN,0.0,F,BLACK,25-44
13,197953462,06/01/2019,14:14:00,QUEENS,0.0,M,BLACK,45-64
14,201436772,08/21/2019,23:34:00,STATEN ISLAND,0.0,M,WHITE HISPANIC,<18
16,205748546,11/27/2019,15:54:00,BRONX,0.0,M,BLACK,18-24
20,196276903,04/19/2019,00:12:00,QUEENS,0.0,M,BLACK,25-44
25,201852654,08/31/2019,07:42:00,BRONX,0.0,M,BLACK HISPANIC,25-44
29,198858230,06/23/2019,12:02:00,BROOKLYN,0.0,M,BLACK,25-44
31,200209680,07/24/2019,13:20:00,BRONX,0.0,M,BLACK,25-44
34,193939359,02/24/2019,23:20:00,BRONX,2.0,M,BLACK,25-44
35,201875868,09/02/2019,20:25:00,BRONX,0.0,M,BLACK,18-24
39,197662446,05/26/2019,20:08:00,BROOKLYN,0.0,M,BLACK,25-44
43,199247701,07/03/2019,00:04:00,QUEENS,2.0,M,WHITE,25-44
46,198350536,06/11/2019,21:41:00,BROOKLYN,0.0,M,WHITE HISPANIC,18-24
48,199134406,06/29/2019,05:48:00,BROOKLYN,0.0,M,BLACK,25-44
50,200056610,07/19/2019,18:44:00,BRONX,0.0,M,BLACK,18-24
56,204971625,11/10/2019,14:03:00,BROOKLYN,0.0,M,BLACK,18-24
59,198405080,06/12/2019,19:27:00,STATEN ISLAND,0.0,M,WHITE HISPANIC,18-24
62,200365034,07/28/2019,14:35:00,MANHATTAN,2.0,M,WHITE HISPANIC,25-44
66,202620767,09/18/2019,19:47:00,BRONX,0.0,M,BLACK,25-44
67,199422329,07/07/2019,10:50:00,BROOKLYN,0.0,M,BLACK,25-44
68,204294841,10/25/2019,19:43:00,BRONX,0.0,M,BLACK,25-44
73,197953467,06/01/2019,22:12:00,BRONX,0.0,M,BLACK,<18
74,200331333,07/27/2019,22:53:00,BROOKLYN,0.0,M,BLACK,25-44
78,204396946,10/29/2019,20:36:00,QUEENS,0.0,M,BLACK,25-44
81,205748550,11/27/2019,23:30:00,BRONX,0.0,M,BLACK,18-24
82,195396618,03/31/2019,07:29:00,BROOKLYN,0.0,M,BLACK,25-44
84,203676928,10/12/2019,06:55:00,BROOKLYN,0.0,M,BLACK,25-44
86,204458421,11/03/2019,00:26:00,BROOKLYN,0.0,M,BLACK,18-24
87,198948495,06/25/2019,01:20:00,QUEENS,0.0,M,ASIAN / PACIFIC ISLANDER,18-24
91,197660693,05/26/2019,05:21:00,MANHATTAN,2.0,M,BLACK,25-44
