,INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,JURISDICTION_CODE,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,ZipCode
5,214607781,06/25/2020,19:58:00,MANHATTAN,0,M,WHITE HISPANIC,18-24,10027
11,208237500,01/20/2020,04:50:00,MANHATTAN,0,M,BLACK HISPANIC,45-64,10467
12,214513453,06/23/2020,19:15:00,STATEN ISLAND,0,M,WHITE HISPANIC,<18,10472
16,217256574,08/31/2020,14:55:00,BRONX,0,M,BLACK,25-44,10470
18,213972320,06/08/2020,15:00:00,QUEENS,0,M,BLACK HISPANIC,45-64,10032
19,219368182,10/16/2020,23:13:00,QUEENS,0,M,WHITE HISPANIC,25-44,11213
27,214102398,06/11/2020,20:27:00,QUEENS,0,M,BLACK,25-44,11236
29,211066097,03/13/2020,00:32:00,MANHATTAN,2,M,BLACK,45-64,11226
30,218219250,09/22/2020,01:22:00,MANHATTAN,0,M,BLACK,25-44,11206
34,211578688,03/28/2020,21:43:00,BROOKLYN,0,M,BLACK,45-64,11429
36,216458280,08/11/2020,01:01:00,BRONX,0,M,WHITE HISPANIC,<18,10452
39,217256138,08/31/2020,17:08:00,BROOKLYN,0,M,BLACK,45-64,11201
40,215492766,07/19/2020,23:05:00,BRONX,0,M,BLACK,18-24,10455
42,207824248,01/13/2020,03:51:00,QUEENS,0,M,WHITE HISPANIC,25-44,10460
43,216209197,08/05/2020,15:15:00,BROOKLYN,2,M,BLACK,25-44,10467
45,214690556,06/26/2020,00:30:00,MANHATTAN,0,M,BLACK,18-24,10457
46,217775317,09/13/2020,11:05:00,BRONX,0,M,BLACK,25-44,10457
50,218321577,09/24/2020,16:45:00,BROOKLYN,0,M,BLACK,45-64,10026
51,220229019,11/07/2020,04:51:00,MANHATTAN,0,M,BLACK HISPANIC,18-24,10456
52,215973094,07/30/2020,12:15:00,BROOKLYN,0,M,BLACK,25-44,10454
54,214948381,07/05/2020,17:49:00,BRONX,0,M,BLACK,25-44,10026
57,217209757,08/28/2020,21:00:00,BROOKLYN,2,M,BLACK,18-24,11212
58,209713053,02/18/2020,00:25:00,BRONX,2,M,WHITE HISPANIC,25-44,11207
63,215223442,07/12/2020,23:30:00,BROOKLYN,0,M,BLACK,<18,10034
64,212132075,04/17/2020,02:45:00,BRONX,2,M,BLACK,18-24,10029
67,208532947,01/26/2020,00:27:00,BRONX,0,M,WHITE HISPANIC,45-64,10453
71,215776333,07/26/2020,18:38:00,BROOKLYN,0,M,WHITE HISPANIC,<18,11212
75,215034244,07/07/2020,21:28:00,BROOKLYN,2,M,BLACK,25-44,10468
85,214693505,06/27/2020,12:34:00,BROOKLYN,0,M,BLACK,18-24,11233
86,208187328,01/19/2020,23:30:00,BRONX,0,M,WHITE HISPANIC,18-24,10023
93,212944540,05/11/2020,17:06:00,STATEN ISLAND,0,M,WHITE HISPANIC,45-64,10303
95,214359250,06/18/2020,01:14:00,BRONX,0,M,BLACK,18-24,11207
99,206898907,01/01/2020,10:29:00,BRONX,0,F,BLACK,25-44,10457
104,211578689,03/29/2020,00:45:00,BRONX,0,M,BLACK,18-24,11216
108,221426272,12/04/2020,05:25:00,BRONX,0,M,BLACK,25-44,11201
113,214729488,06/29/2020,20:56:00,BROOKLYN,0,M,WHITE HISPANIC,45-64,11233
117,217843497,09/15/2020,08:46:00,STATEN ISLAND,0,M,BLACK,25-44,11213
118,210461144,03/03/2020,21:27:00,MANHATTAN,0,M,WHITE HISPANIC,25-44,11207
121,211991685,04/13/2020,21:27:00,BROOKLYN,2,M,BLACK,18-24,11229
122,219975241,10/31/2020,23:40:00,BROOKLYN,0,M,BLACK,<18,11217
124,214693795,06/27/2020,00:45:00,MANHATTAN,0,M,WHITE,18-24,10454
125,220553703,11/14/2020,16:00:00,MANHATTAN,2,M,WHITE HISPANIC,18-24,10466
131,213858244,06/05/2020,00:07:00,BRONX,0,M,BLACK,18-24,10460
132,213779570,06/02/2020,21:17:00,BROOKLYN,0,M,BLACK,45-64,10456
134,211866484,04/08/2020,22:26:00,STATEN ISLAND,0,M,WHITE,45-64,11228
