,INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,JURISDICTION_CODE,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,ZipCode
1,205748546,11/27/2019,15:54:00,BRONX,0.0,M,BLACK,25-44,10451
2,193118596,02/02/2019,19:40:00,MANHATTAN,0.0,M,WHITE HISPANIC,18-24,10029
3,204192600,10/24/2019,00:52:00,STATEN ISLAND,0.0,M,BLACK,25-44,10303
4,201483468,08/22/2019,18:03:00,BRONX,0.0,M,BLACK HISPANIC,18-24,10453
5,198255460,06/07/2019,17:50:00,BROOKLYN,0.0,M,WHITE HISPANIC,25-44,11233
6,194570529,03/11/2019,16:30:00,BROOKLYN,0.0,M,BLACK,25-44,11221
8,193694863,02/17/2019,03:00:00,QUEENS,2.0,M,BLACK,25-44,11101
9,199582060,07/10/2019,02:56:00,BROOKLYN,0.0,M,BLACK,25-44,11236
11,204464564,11/04/2019,13:40:00,BRONX,0.0,M,BLACK,25-44,10451
12,205908100,12/02/2019,11:50:00,BROOKLYN,0.0,F,BLACK,25-44,11203
13,197953462,06/01/2019,14:14:00,QUEENS,0.0,M,BLACK,45-64,11691
14,201436772,08/21/2019,23:34:00,STATEN ISLAND,0.0,M,WHITE HISPANIC,<18,10310
16,205748546,11/27/2019,15:54:00,BRONX,0.0,M,BLACK,18-24,10451
20,196276903,04/19/2019,00:12:00,QUEENS,0.0,M,BLACK,25-44,11412
25,201852654,08/31/2019,07:42:00,BRONX,0.0,M,BLACK HISPANIC,25-44,10461
29,198858230,06/23/2019,12:02:00,BROOKLYN,0.0,M,BLACK,25-44,11223
31,200209680,07/24/2019,13:20:00,BRONX,0.0,M,BLACK,25-44,10469
34,193939359,02/24/2019,23:20:00,BRONX,2.0,M,BLACK,25-44,10456
35,201875868,09/02/2019,20:25:00,BRONX,0.0,M,BLACK,18-24,10457
39,197662446,05/26/2019,20:08:00,BROOKLYN,0.0,M,BLACK,25-44,11207
43,199247701,07/03/2019,00:04:00,QUEENS,2.0,M,WHITE,25-44,11101
46,198350536,06/11/2019,21:41:00,BROOKLYN,0.0,M,WHITE HISPANIC,18-24,11208
48,199134406,06/29/2019,05:48:00,BROOKLYN,0.0,M,BLACK,25-44,11236
50,200056610,07/19/2019,18:44:00,BRONX,0.0,M,BLACK,18-24,10457
56,204971625,11/10/2019,14:03:00,BROOKLYN,0.0,M,BLACK,18-24,11234
59,198405080,06/12/2019,19:27:00,STATEN ISLAND,0.0,M,WHITE HISPANIC,18-24,10303
62,200365034,07/28/2019,14:35:00,MANHATTAN,2.0,M,WHITE HISPANIC,25-44,10031
66,202620767,09/18/2019,19:47:00,BRONX,0.0,M,BLACK,25-44,10456
67,199422329,07/07/2019,10:50:00,BROOKLYN,0.0,M,BLACK,25-44,11224
68,204294841,10/25/2019,19:43:00,BRONX,0.0,M,BLACK,25-44,10458
73,197953467,06/01/2019,22:12:00,BRONX,0.0,M,BLACK,<18,10474
74,200331333,07/27/2019,22:53:00,BROOKLYN,0.0,M,BLACK,25-44,11212
78,204396946,10/29/2019,20:36:00,QUEENS,0.0,M,BLACK,25-44,11434
81,205748550,11/27/2019,23:30:00,BRONX,0.0,M,BLACK,18-24,10465
82,195396618,03/31/2019,07:29:00,BROOKLYN,0.0,M,BLACK,25-44,11216
84,203676928,10/12/2019,06:55:00,BROOKLYN,0.0,M,BLACK,25-44,11213
86,204458421,11/03/2019,00:26:00,BROOKLYN,0.0,M,BLACK,18-24,11205
87,198948495,06/25/2019,01:20:00,QUEENS,0.0,M,ASIAN / PACIFIC ISLANDER,18-24,11354
91,197660693,05/26/2019,05:21:00,MANHATTAN,2.0,M,BLACK,25-44,10029
93,200668267,08/04/2019,03:47:00,MANHATTAN,0.0,M,BLACK,25-44,10040
94,199134403,06/29/2019,18:39:00,BROOKLYN,0.0,M,BLACK,25-44,11221
105,202770948,09/21/2019,20:45:00,BROOKLYN,0.0,M,BLACK,45-64,11235
107,198255467,06/08/2019,22:44:00,STATEN ISLAND,0.0,M,BLACK,25-44,10310
108,199785879,07/15/2019,17:35:00,MANHATTAN,0.0,M,BLACK,<18,10035
112,204458418,11/03/2019,14:54:00,QUEENS,0.0,M,BLACK,25-44,11691
114,202457201,09/14/2019,05:33:00,BROOKLYN,0.0,M,BLACK,25-44,11221
116,203980164,10/18/2019,14:43:00,MANHATTAN,0.0,F,BLACK,65+,10037
117,194269158,03/04/2019,22:22:00,BROOKLYN,2.0,M,BLACK,<18,11233
118,197953471,06/01/2019,13:45:00,BROOKLYN,0.0,M,BLACK,18-24,11238
120,198171739,06/07/2019,00:15:00,BRONX,2.0,M,BLACK,25-44,10469
124,199325323,07/05/2019,01:14:00,BRONX,0.0,M,BLACK,25-44,10458
126,204294842,10/27/2019,18:14:00,BROOKLYN,0.0,M,BLACK,18-24,11216
127,205862270,11/30/2019,23:01:00,BRONX,0.0,M,BLACK,25-44,10453
128,200408150,07/29/2019,02:18:00,BROOKLYN,0.0,M,BLACK,25-44,11213
129,201573939,08/25/2019,01:20:00,QUEENS,0.0,M,WHITE HISPANIC,45-64,11368
131,195553175,04/03/2019,14:00:00,BRONX,0.0,M,BLACK,25-44,10456
135,192834299,01/25/2019,01:55:00,QUEENS,0.0,M,BLACK,45-64,11420
137,201089982,08/13/2019,23:49:00,BROOKLYN,0.0,M,BLACK,25-44,11204
138,197423567,05/20/2019,04:30:00,QUEENS,0.0,M,BLACK HISPANIC,25-44,11101
139,203348707,10/05/2019,04:38:00,BRONX,0.0,M,WHITE HISPANIC,25-44,10455
141,198948494,06/25/2019,00:01:00,BRONX,0.0,M,BLACK,25-44,10458
146,199247701,07/03/2019,00:04:00,QUEENS,2.0,M,BLACK,25-44,11101
148,197691090,05/27/2019,18:00:00,BROOKLYN,0.0,M,BLACK,18-24,11226
150,197106407,05/11/2019,01:34:00,BRONX,0.0,M,BLACK,25-44,10466
153,199467225,07/08/2019,17:40:00,BROOKLYN,0.0,M,BLACK,25-44,11213
155,199742306,07/12/2019,22:35:00,QUEENS,0.0,M,BLACK,65+,11434
156,195013387,03/21/2019,18:20:00,BRONX,2.0,M,WHITE HISPANIC,<18,10451
157,203207191,10/02/2019,20:14:00,BRONX,0.0,M,WHITE HISPANIC,<18,10452
158,203676928,10/12/2019,06:55:00,BROOKLYN,0.0,M,BLACK,45-64,11213
163,198266990,06/10/2019,02:21:00,MANHATTAN,0.0,M,BLACK,25-44,10031
167,196678735,05/02/2019,00:23:00,BROOKLYN,0.0,M,BLACK,25-44,11207
168,199728579,07/13/2019,02:45:00,MANHATTAN,2.0,M,BLACK,25-44,10009
169,204434561,10/31/2019,19:03:00,BRONX,2.0,F,BLACK,25-44,10456
170,193938809,02/22/2019,17:44:00,BROOKLYN,0.0,M,BLACK,<18,11210
171,196276908,04/19/2019,17:43:00,QUEENS,0.0,M,BLACK,18-24,11411
175,198052647,06/04/2019,19:56:00,BROOKLYN,2.0,M,BLACK,<18,11206
177,204054325,04/21/2019,05:25:00,BRONX,0.0,M,BLACK,18-24,10468
178,193417904,02/08/2019,17:00:00,BRONX,0.0,M,BLACK,18-24,10456
179,198107752,06/05/2019,12:20:00,BRONX,2.0,M,BLACK,<18,10454
184,201089979,08/13/2019,15:55:00,QUEENS,0.0,M,BLACK,25-44,11413
185,203348703,10/03/2019,14:27:00,BROOKLYN,0.0,M,BLACK,18-24,11212
187,198760073,06/20/2019,19:02:00,BROOKLYN,0.0,M,BLACK HISPANIC,25-44,11213
192,205280617,11/17/2019,02:27:00,BROOKLYN,0.0,M,WHITE HISPANIC,25-44,11220
