INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,ZipCode
221467363,12/07/2020,05:50:00,BRONX,40,0,,False,,,,18-24,M,BLACK,1020183,239283,40.8233872910001,-73.87017045,POINT (-73.87017045 40.82338729100008),10473
213923358,06/06/2020,21:00:00,BRONX,47,0,,False,,,,18-24,M,BLACK,1009548,258693,40.8766988370001,-73.908522938,POINT (-73.90852293799998 40.87669883700005),10463
217218947,08/30/2020,01:39:00,BROOKLYN,73,0,,False,,,,45-64,F,BLACK,1025754,268697,40.9040952950001,-73.849859523,POINT (-73.84985952299998 40.90409529500005),10470
216209200,08/05/2020,20:01:00,QUEENS,104,0,PVT HOUSE,False,18-24,M,UNKNOWN,25-44,F,BLACK HISPANIC,1051162,155661,40.5936853270001,-73.75907038,POINT (-73.75907037999998 40.59368532700007),11692
221795938,12/13/2020,16:00:00,BROOKLYN,75,0,,False,,,,25-44,F,BLACK,1008427,183518,40.67036646,-73.9128469619999,POINT (-73.91284696199995 40.670366460000025),11212
214607781,06/25/2020,19:58:00,MANHATTAN,30,0,,False,25-44,M,WHITE HISPANIC,18-24,M,BLACK,996355,235615,40.813384453,-73.956270966,POINT (-73.95627096599996 40.813384453000026),10027
212473915,04/27/2020,02:00:00,BROOKLYN,81,0,GROCERY/BODEGA,False,,,,18-24,M,ASIAN / PACIFIC ISLANDER,1013233,186393,40.678243255,-73.895509701,POINT (-73.89550970099998 40.67824325500004),11207
215492769,07/19/2020,03:54:00,BROOKLYN,75,0,,False,,,,18-24,M,BLACK,999855,244888,40.838830709,-73.943605314,POINT (-73.94360531399997 40.83883070900004),10032
213187656,05/16/2020,00:50:00,QUEENS,103,0,,True,,,,25-44,M,BLACK,1020990,256795,40.8714492040001,-73.867158697,POINT (-73.867158697 40.87144920400005),10467
213772740,06/02/2020,12:05:00,BROOKLYN,81,0,MULTI DWELL - APT BUILD,False,,,,45-64,M,BLACK,1010676,253888,40.8635072810001,-73.904463,POINT (-73.90446299999998 40.86350728100007),10468
216649917,08/15/2020,00:05:00,BRONX,48,0,,False,,,,18-24,M,BLACK,1005218,190528,40.689615497,-73.924393112,POINT (-73.92439311199998 40.689615497000034),11221
208237500,01/20/2020,04:50:00,MANHATTAN,34,0,RESTAURANT/DINER,False,25-44,M,BLACK HISPANIC,45-64,F,WHITE HISPANIC,1021469,254216,40.8643686350001,-73.8654410779999,POINT (-73.86544107799993 40.86436863500006),10467
214513453,06/23/2020,19:15:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,False,18-24,M,WHITE HISPANIC,<18,M,BLACK,1018029,240747,40.8274140510001,-73.8779457749999,POINT (-73.87794577499993 40.82741405100006),10472
215225149,07/10/2020,20:10:00,BRONX,40,0,,False,,,,25-44,M,BLACK,991885,227972,40.7924115050001,-73.972427963,POINT (-73.97242796299997 40.792411505000075),10025
211767651,04/05/2020,03:19:00,BROOKLYN,67,0,,False,,,,25-44,M,BLACK,1001160,184534,40.6731720140001,-73.939040855,POINT (-73.93904085499997 40.67317201400005),11213
214312561,06/17/2020,00:19:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK,987583,210248,40.743766388,-73.987973246,POINT (-73.98797324599997 40.74376638800004),10001
217256574,08/31/2020,14:55:00,BRONX,46,0,,False,45-64,M,BLACK,25-44,M,BLACK,1026242,268075,40.9023857980001,-73.8480980739999,POINT (-73.84809807399995 40.90238579800007),10470
215536326,07/20/2020,22:19:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,False,,,,25-44,F,BLACK,998007,230362,40.798963998,-73.9503137199999,POINT (-73.95031371999994 40.79896399800003),10026
213972320,06/08/2020,15:00:00,QUEENS,110,0,,False,25-44,M,BLACK HISPANIC,45-64,M,BLACK HISPANIC,999855,244888,40.838830709,-73.943605314,POINT (-73.94360531399997 40.83883070900004),10032
