"ID","Latitude","Longitude","State","AUTO_UNIQUE_ID_2021-03-24_desperate4love_2020_NYC_Shoot","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4","ComputedAPN"
"0","40.82338729100008","-73.87017045","NY",1,"1",35157.3814,"","AggieReverseGeocoder","",4.01,"900 FTELEY AVE","New York","NY","10473","4006","2036600003"
"1","40.87669883700005","-73.90852293799998","NY",2,"1",2656.3899,"","AggieReverseGeocoder","",4.01,"130 W 228TH ST","New York","NY","10463","6605","1022150586"
"2","40.90409529500005","-73.84985952299998","NY",3,"1",3887.0477,"","AggieReverseGeocoder","",4.01,"4725 WHITE PLAINS RD","New York","NY","10470","1116","2051070032"
"3","40.59368532700007","-73.75907037999998","NY",4,"1",22544.8106,"","AggieReverseGeocoder","",4.01,"151 BEACH 62ND ST","New York","NY","11692","","4158180161"
"4","40.670366460000025","-73.91284696199995","NY",5,"1",31679.6266,"","AggieReverseGeocoder","",4.01,"70 CHESTER ST","New York","NY","11212","","3034980008"
"5","40.813384453000026","-73.95627096599996","NY",6,"1",12717.3315,"","AggieReverseGeocoder","",4.01,"1343 AMSTERDAM AVE","New York","NY","10027","2526","1019660031"
"6","40.67824325500004","-73.89550970099998","NY",7,"1",6015.8136,"","AggieReverseGeocoder","",4.01,"80 VERMONT ST","New York","NY","11207","2513","3036610029"
"7","40.83883070900004","-73.94360531399997","NY",8,"1",625.0329,"","AggieReverseGeocoder","",4.01,"106 FORT WASHINGTON AVE","New York","NY","10032","4715","1021370126"
"8","40.87144920400005","-73.867158697","NY",9,"1",3943.0698,"","AggieReverseGeocoder","",4.01,"3211 WHITE PLAINS RD","New York","NY","10467","6403","2045950043"
"9","40.86350728100007","-73.90446299999998","NY",10,"1",2468.8333,"","AggieReverseGeocoder","",4.01,"2422 UNIVERSITY AVE","New York","NY","10468","5624","2032130009"
"10","40.689615497000034","-73.92439311199999","NY",11,"1",7093.927,"","AggieReverseGeocoder","",4.01,"848 QUINCY ST","New York","NY","11221","3612","3016330058"
"11","40.86436863500006","-73.86544107799993","NY",12,"1",1796.9374,"","AggieReverseGeocoder","",4.01,"2533 HOLLAND AVE","New York","NY","10467","8715","2044340050"
"12","40.82741405100006","-73.87794577499993","NY",13,"1",3421.9865,"","AggieReverseGeocoder","",4.01,"1148 BOYNTON AVE","New York","NY","10472","3702","2037410022"
"13","40.792411505000075","-73.97242796299997","NY",14,"1",1906.3104,"","AggieReverseGeocoder","",4.01,"680 AMSTERDAM AVE","New York","NY","10025","6901","1012410025"
"14","40.67317201400005","-73.93904085499997","NY",15,"1",21449.184,"","AggieReverseGeocoder","",4.01,"193 ALBANY AVE","New York","NY","11213","2136","3013520080"
"15","40.74376638800004","-73.98797324599997","NY",16,"1",2031.3242,"","AggieReverseGeocoder","",4.01,"1140 BROADWAY","New York","NY","10001","7504","1008280033"
"16","40.90238579800007","-73.84809807399995","NY",17,"1",2730.4021,"","AggieReverseGeocoder","",4.01,"801 E 241ST ST","New York","NY","10470","1303","2051170065"
"17","40.79896399800003","-73.95031371999994","NY",18,"1",1921.9227,"","AggieReverseGeocoder","",4.01,"7 W 111TH ST","New York","NY","10026","4328","1015950015"
"18","40.83883070900004","-73.94360531399997","NY",19,"1",0,"","AggieReverseGeocoder","",4.01,"106 FORT WASHINGTON AVE","New York","NY","10032","4715","1021370126"
"19","40.67547459000008","-73.93849437599994","NY",20,"1",6269.08,"","AggieReverseGeocoder","",4.01,"149 ALBANY AVE","New York","NY","11213","2102","3013460001"
"20","40.65844352300008","-73.90979175299998","NY",21,"1",5859.581,"","AggieReverseGeocoder","",4.01,"513 BRISTOL ST","New York","NY","11212","5322","3036130018"
"21","40.80550434700007","-73.91647725199994","NY",22,"1",2406.3306,"","AggieReverseGeocoder","",4.01,"603 E 137TH ST","New York","NY","10454","3101","2025500063"
"22","40.816366145000075","-73.86762631099998","NY",23,"1",5554.1765,"","AggieReverseGeocoder","",4.01,"1610 RANDALL AVE","New York","NY","10473","4203","2035150001"
"23","40.66972146500007","-73.87684288099996","NY",24,"1",3453.2162,"","AggieReverseGeocoder","",4.01,"353 MONTAUK AVE","New York","NY","11208","3639","3040720012"
"24","40.80330628300004","-73.95060666799998","NY",25,"1",2078.1561,"","AggieReverseGeocoder","",4.01,"131 W 117TH ST","New York","NY","10026","2287","1019020016"
"25","40.67043192700004","-73.91983669099994","NY",26,"1",5740.0582,"","AggieReverseGeocoder","",4.01,"510 HOWARD AVE","New York","NY","11233","4535","3014700039"
"26","40.62851560000007","-73.94138369799998","NY",27,"1",6266.9185,"","AggieReverseGeocoder","",4.01,"1823 BROOKLYN AVE","New York","NY","11210","4239","3076000024"
"27","40.64802513400008","-73.90401117799998","NY",28,"1",5685.0972,"","AggieReverseGeocoder","",4.01,"930 E 98TH ST","New York","NY","11236","2308","3081470053"
"28","40.86413608500004","-73.91918020999998","NY",29,"1",969.4052,"","AggieReverseGeocoder","",4.01,"3859 10TH AVE","New York","NY","10034","1849","1022030003"
"29","40.64971987400003","-73.96312802699998","NY",30,"1",5486.4632,"","AggieReverseGeocoder","",4.01,"1801 CHURCH AVE","New York","NY","11226","3705","3050790033"
"30","40.70758131700006","-73.94067936799998","NY",31,"1",9625.2681,"","AggieReverseGeocoder","",4.01,"209 MONTROSE AVE","New York","NY","11206","2723","3030540033"
"31","40.79037824500005","-73.94976759099995","NY",32,"1",1859.4378,"","AggieReverseGeocoder","",4.01,"1491 MADISON AVE","New York","NY","10029","4506","1016080023"
"32","40.829362650000064","-73.91435510699995","NY",33,"1",2656.3038,"","AggieReverseGeocoder","",4.01,"1041 FINDLAY AVE","New York","NY","10456","5827","2024330028"
"33","40.85358740100002","-73.90059135599995","NY",34,"1",1796.9478,"","AggieReverseGeocoder","",4.01,"2105 RYER AVE","New York","NY","10457","2926","2031560155"
"34","40.71368588400002","-73.73575249799995","NY",35,"1",22658.0148,"","AggieReverseGeocoder","",4.01,"21902 102ND AVE","New York","NY","11429","1612","4107720007"
"35","40.81915052700003","-73.93718378399994","NY",36,"1",1484.419,"","AggieReverseGeocoder","",4.01,"680 MALCOLM X BLVD","New York","NY","10037","1048","1017410001"
"36","40.833217042000065","-73.92755451499994","NY",37,"1",968.7498,"","AggieReverseGeocoder","",4.01,"1022 WOODYCREST AVE","New York","NY","10452","5204","2025080012"
"37","40.67459999000005","-73.93057482199998","NY",38,"1",5871.385,"","AggieReverseGeocoder","",4.01,"135 UTICA AVE","New York","NY","11213","2338","3013550001"
"38","40.723392998000065","-73.97625544299996","NY",39,"1",11860.551,"","AggieReverseGeocoder","",4.01,"101 AVENUE D","New York","NY","10009","5338","1003770042"
"39","40.69980031700004","-73.98373278599996","NY",40,"1",5203.2796,"","AggieReverseGeocoder","",4.01,"111 YORK ST","New York","NY","11201","1508","3000680001"
"40","40.815946755000034","-73.90762016499998","NY",41,"1",4281.3492,"","AggieReverseGeocoder","",4.01,"726 E 152ND ST","New York","NY","10455","2210","2026430013"
"41","40.80518856100008","-73.94921820399995","NY",42,"1",1437.55,"","AggieReverseGeocoder","",4.01,"129 W 120TH ST","New York","NY","10027","6402","1019050016"
"42","40.84460257800004","-73.88166226199995","NY",43,"1",1015.6356,"","AggieReverseGeocoder","",4.01,"921 E 180TH ST","New York","NY","10460","2017","2031280001"
"43","40.88170569400006","-73.86210791199994","NY",44,"1",2234.4435,"","AggieReverseGeocoder","",4.01,"741 E 217TH ST","New York","NY","10467","5801","2046650027"
